customer_id,cluster_id,segment_name,segment_confidence,segment_profile.avg_age,segment_profile.avg_income,segment_profile.primary_location_type,segment_profile.primary_occupation,segment_profile.digital_literacy_level,segment_profile.risk_appetite,segment_profile.income_stability,segment_profile.financial_literacy,individual_traits.age_vs_segment,individual_traits.income_vs_segment,individual_traits.digital_vs_segment,individual_traits.risk_vs_segment,predicted_behaviors.product_openness,predicted_behaviors.channel_preference,predicted_behaviors.decision_speed,predicted_behaviors.price_sensitivity,predicted_behaviors.trust_requirement,engagement_strategy.primary_channel,engagement_strategy.message_complexity,engagement_strategy.relationship_building,engagement_strategy.documentation_support,engagement_strategy.follow_up_frequency
16927,2,Middle-aged Professional - Rural,0.8661750697753781,36.7,4262.0,rural,professional,0.22,Medium,0.0375,0.18,typical,typical,below,typical,moderate,in_person,moderate,moderate,high,field_visit,simple,essential,high,regular
20682,1,Middle-aged Salaried - Rural,0.86445076904197,34.9,1253.0,rural,salaried,0.22,Medium,0.01,0.26,typical,below,above,typical,moderate,in_person,moderate,high,high,field_visit,simple,essential,high,regular
14440,4,Middle-aged Salaried - Rural,0.865397028400489,35.4,4312.0,rural,salaried,0.78,Medium,0.052,0.79,typical,above,typical,typical,high,digital,moderate,low,moderate,digital,simple,moderate,high,minimal
2570,0,Middle-aged Skilled_Worker - Rural,0.8642132783179748,34.8,1382.0,rural,skilled_worker,0.79,Medium,0.01,0.79,above,below,typical,typical,moderate,digital,moderate,high,moderate,digital,simple,moderate,high,minimal
23615,1,Middle-aged Salaried - Rural,0.8617375360237212,34.9,1253.0,rural,salaried,0.22,Medium,0.01,0.22,below,below,typical,typical,moderate,in_person,fast,high,high,field_visit,moderate,essential,high,regular
12621,5,Middle-aged Professional - Rural,0.857696807697124,39.9,454.0,rural,professional,0.17,Low,0.0,0.2,above,below,above,typical,moderate,in_person,moderate,high,high,field_visit,moderate,essential,high,regular
24778,6,Middle-aged Skilled_Worker - Rural,0.8733928528427386,38.8,3962.0,rural,skilled_worker,0.79,Medium,0.03,1.0,below,below,typical,typical,moderate,digital,moderate,high,moderate,digital,moderate,moderate,high,minimal
22566,0,Middle-aged Skilled_Worker - Rural,0.8637525817577247,34.8,1382.0,rural,skilled_worker,0.79,Medium,0.012,0.79,typical,typical,typical,typical,moderate,digital,moderate,moderate,moderate,digital,moderate,moderate,high,minimal
28674,6,Middle-aged Skilled_Worker - Rural,0.8854403485815915,38.8,3962.0,rural,skilled_worker,0.79,Low,0.05,0.79,above,above,typical,typical,high,digital,moderate,low,moderate,digital,moderate,moderate,high,minimal
17635,2,Middle-aged Professional - Rural,0.8661750697753781,36.7,4262.0,rural,professional,0.22,Medium,0.05,0.25,typical,above,typical,typical,high,in_person,moderate,low,high,field_visit,moderate,essential,high,regular
10809,5,Middle-aged Professional - Rural,0.8608828315202552,39.9,454.0,rural,professional,0.17,Medium,0.0,0.58,below,below,above,typical,moderate,in_person,fast,high,high,field_visit,moderate,essential,high,regular
25643,2,Middle-aged Professional - Rural,0.8651802127153814,36.7,4262.0,rural,professional,0.22,Low,0.03,0.5,above,below,typical,typical,moderate,in_person,moderate,high,high,field_visit,moderate,essential,high,regular
13869,6,Middle-aged Skilled_Worker - Rural,0.8757074525817373,38.8,3962.0,rural,skilled_worker,0.79,Medium,0.03,1.0,typical,below,typical,typical,moderate,digital,moderate,high,moderate,digital,moderate,moderate,high,minimal
18814,1,Middle-aged Salaried - Rural,0.8640763632220007,34.9,1253.0,rural,salaried,0.22,Medium,0.013,0.57,typical,typical,above,typical,moderate,in_person,moderate,moderate,high,field_visit,moderate,essential,high,regular
30093,6,Middle-aged Skilled_Worker - Rural,0.8737274369026569,38.8,3962.0,rural,skilled_worker,0.79,Medium,0.05,0.79,below,above,typical,typical,high,digital,fast,low,moderate,digital,simple,moderate,high,minimal
8466,3,Middle-aged Professional - Rural,0.8605927330337677,38.0,273.0,rural,professional,0.78,Medium,0.0,0.79,below,below,typical,typical,moderate,digital,fast,high,moderate,digital,moderate,moderate,high,minimal
22284,3,Middle-aged Professional - Rural,0.8610470457759463,38.0,273.0,rural,professional,0.78,Medium,0.01,0.79,typical,above,typical,typical,high,digital,moderate,low,moderate,digital,simple,moderate,high,minimal
1825,1,Middle-aged Salaried - Rural,0.8617092634299228,34.9,1253.0,rural,salaried,0.22,Medium,0.015,0.5,typical,above,typical,typical,high,in_person,moderate,low,high,field_visit,moderate,essential,high,regular
31359,4,Middle-aged Salaried - Rural,0.8648766387041694,35.4,4312.0,rural,salaried,0.78,Medium,0.045,1.0,typical,typical,typical,typical,moderate,digital,moderate,moderate,moderate,digital,moderate,moderate,high,minimal
32740,7,Middle-aged Salaried - Rural,0.9157682960810926,36.0,6814.0,rural,salaried,0.54,Medium,0.07,0.23,typical,typical,below,typical,moderate,in_person,moderate,moderate,high,field_visit,simple,essential,high,regular
24891,1,Middle-aged Salaried - Rural,0.8608447825989298,34.9,1253.0,rural,salaried,0.22,Medium,0.008,0.3,typical,below,above,typical,moderate,in_person,moderate,high,high,field_visit,moderate,essential,high,regular
15110,5,Middle-aged Professional - Rural,0.8618674644451574,39.9,454.0,rural,professional,0.17,Medium,0.006,0.45,typical,above,typical,typical,high,in_person,moderate,low,high,field_visit,moderate,essential,high,regular
17417,3,Middle-aged Professional - Rural,0.8649179451328386,38.0,273.0,rural,professional,0.78,Medium,0.02,0.79,below,above,typical,typical,high,digital,fast,low,moderate,digital,simple,moderate,high,minimal
10834,3,Middle-aged Professional - Rural,0.8579576216867243,38.0,273.0,rural,professional,0.78,Low,0.0,0.79,above,below,typical,typical,moderate,digital,moderate,high,moderate,digital,moderate,moderate,high,minimal
35354,6,Middle-aged Skilled_Worker - Rural,0.9048660876806256,38.8,3962.0,rural,skilled_worker,0.79,Low,0.04,1.0,above,typical,typical,typical,moderate,digital,moderate,moderate,moderate,digital,moderate,moderate,high,minimal
27811,6,Middle-aged Skilled_Worker - Rural,0.884837763040774,38.8,3962.0,rural,skilled_worker,0.79,Medium,0.033333333,0.79,typical,below,typical,typical,moderate,digital,moderate,high,moderate,digital,moderate,moderate,high,minimal
2872,1,Middle-aged Salaried - Rural,0.8644386453104393,34.9,1253.0,rural,salaried,0.22,Medium,0.02,0.11,typical,above,below,typical,moderate,in_person,moderate,low,high,field_visit,moderate,essential,high,regular
33954,4,Middle-aged Salaried - Rural,0.8646054787680626,35.4,4312.0,rural,salaried,0.78,Medium,0.05,0.79,typical,above,typical,typical,high,digital,moderate,low,moderate,digital,simple,moderate,high,minimal
21355,1,Middle-aged Salaried - Rural,0.8603035936421577,34.9,1253.0,rural,salaried,0.22,Medium,0.008,0.15,below,below,below,typical,low,in_person,fast,high,high,field_visit,simple,essential,high,regular
18987,0,Middle-aged Skilled_Worker - Rural,0.8623243664040625,34.8,1382.0,rural,skilled_worker,0.79,Medium,0.012,1.0,typical,typical,typical,typical,moderate,digital,moderate,moderate,moderate,digital,moderate,moderate,high,minimal
31253,6,Middle-aged Skilled_Worker - Rural,0.8840547830916534,38.8,3962.0,rural,skilled_worker,0.79,Medium,0.03,1.0,below,below,typical,typical,moderate,digital,moderate,high,moderate,digital,moderate,moderate,high,minimal
4169,0,Middle-aged Skilled_Worker - Rural,0.8645080687015676,34.8,1382.0,rural,skilled_worker,0.79,Medium,0.01,0.79,typical,below,typical,typical,moderate,digital,moderate,high,moderate,digital,simple,moderate,high,minimal
3901,4,Middle-aged Salaried - Rural,0.8634749000362543,35.4,4312.0,rural,salaried,0.78,Medium,0.035,1.0,typical,below,typical,typical,moderate,digital,moderate,high,moderate,digital,moderate,moderate,high,minimal
29120,2,Middle-aged Professional - Rural,0.8636485843749072,36.7,4262.0,rural,professional,0.22,Medium,0.047,0.25,below,typical,above,typical,moderate,in_person,fast,moderate,high,field_visit,simple,essential,high,regular
24434,0,Middle-aged Skilled_Worker - Rural,0.8646824289552855,34.8,1382.0,rural,skilled_worker,0.79,Medium,0.03,0.79,typical,above,typical,typical,high,digital,moderate,low,moderate,digital,moderate,moderate,high,minimal
31921,7,Middle-aged Salaried - Rural,0.9241751179504982,36.0,6814.0,rural,salaried,0.54,Medium,0.06,0.52,typical,typical,below,typical,moderate,in_person,moderate,moderate,high,field_visit,moderate,essential,high,regular
16639,4,Middle-aged Salaried - Rural,0.8608765918454429,35.4,4312.0,rural,salaried,0.78,Medium,0.04,0.79,typical,typical,typical,typical,moderate,digital,moderate,moderate,moderate,digital,moderate,moderate,high,minimal
4399,6,Middle-aged Skilled_Worker - Rural,0.8853937271113252,38.8,3962.0,rural,skilled_worker,0.79,Low,0.035,0.79,above,typical,typical,typical,moderate,digital,moderate,moderate,moderate,digital,simple,moderate,high,minimal
22205,1,Middle-aged Salaried - Rural,0.8657143165771376,34.9,1253.0,rural,salaried,0.22,Low,0.02,0.29,above,above,above,typical,high,in_person,moderate,low,high,field_visit,moderate,essential,high,regular
13963,7,Middle-aged Salaried - Rural,0.9227915944425965,36.0,6814.0,rural,salaried,0.54,Medium,0.062,0.79,above,typical,above,typical,moderate,digital,moderate,moderate,moderate,digital,simple,moderate,high,minimal
22351,0,Middle-aged Skilled_Worker - Rural,0.8643725976284995,34.8,1382.0,rural,skilled_worker,0.79,Medium,0.011,1.0,typical,below,typical,typical,moderate,digital,moderate,high,moderate,digital,moderate,moderate,high,minimal
18551,6,Middle-aged Skilled_Worker - Rural,0.8733787252159654,38.8,3962.0,rural,skilled_worker,0.79,Medium,0.05,0.79,below,above,typical,typical,high,digital,fast,low,moderate,digital,moderate,moderate,high,minimal
26458,1,Middle-aged Salaried - Rural,0.8623000129535219,34.9,1253.0,rural,salaried,0.22,Medium,0.02,0.16,typical,above,below,typical,moderate,in_person,moderate,low,high,field_visit,moderate,essential,high,regular
36868,6,Middle-aged Skilled_Worker - Rural,0.8779948802128175,38.8,3962.0,rural,skilled_worker,0.79,Medium,0.046666667,1.0,typical,above,typical,typical,high,digital,moderate,low,moderate,digital,moderate,moderate,high,minimal
12614,5,Middle-aged Professional - Rural,0.8584181343761536,39.9,454.0,rural,professional,0.17,Medium,0.0,0.11,typical,below,below,typical,low,in_person,moderate,high,high,field_visit,simple,essential,high,regular
26330,2,Middle-aged Professional - Rural,0.8663070110802625,36.7,4262.0,rural,professional,0.22,Medium,0.05,0.25,above,above,typical,typical,high,in_person,moderate,low,high,field_visit,simple,essential,high,regular
25704,6,Middle-aged Skilled_Worker - Rural,0.8752631646338473,38.8,3962.0,rural,skilled_worker,0.79,Medium,0.05,1.0,typical,above,typical,typical,high,digital,moderate,low,moderate,digital,moderate,moderate,high,minimal
28716,1,Middle-aged Salaried - Rural,0.8623000129535219,34.9,1253.0,rural,salaried,0.22,Medium,0.009,0.14,typical,below,below,typical,low,in_person,moderate,high,high,field_visit,moderate,essential,high,regular
37532,7,Middle-aged Salaried - Rural,0.9158901779568627,36.0,6814.0,rural,salaried,0.54,Medium,0.08,1.0,typical,above,above,typical,high,digital,moderate,low,moderate,digital,moderate,moderate,high,minimal
6293,1,Middle-aged Salaried - Rural,0.8670007127490571,34.9,1253.0,rural,salaried,0.22,Low,0.02,0.52,above,above,typical,typical,high,in_person,moderate,low,high,field_visit,moderate,essential,high,regular
26687,1,Middle-aged Salaried - Rural,0.8605566223219321,34.9,1253.0,rural,salaried,0.22,Medium,0.015,0.45,below,above,below,typical,moderate,in_person,fast,low,high,field_visit,moderate,essential,high,regular
31584,6,Middle-aged Skilled_Worker - Rural,0.9145242801116218,38.8,3962.0,rural,skilled_worker,0.79,Medium,0.04,1.0,above,typical,typical,typical,moderate,digital,moderate,moderate,moderate,digital,moderate,moderate,high,minimal
1151,1,Middle-aged Salaried - Rural,0.8658351658653213,34.9,1253.0,rural,salaried,0.22,Medium,0.02,0.46,typical,above,below,typical,moderate,in_person,moderate,low,high,field_visit,moderate,essential,high,regular
18585,4,Middle-aged Salaried - Rural,0.865067950203522,35.4,4312.0,rural,salaried,0.78,Low,0.045,0.79,above,typical,typical,typical,moderate,digital,moderate,moderate,moderate,digital,moderate,moderate,high,minimal
1198,4,Middle-aged Salaried - Rural,0.8620437738802946,35.4,4312.0,rural,salaried,0.78,Medium,0.04,0.79,typical,typical,typical,typical,moderate,digital,moderate,moderate,moderate,digital,moderate,moderate,high,minimal
28975,4,Middle-aged Salaried - Rural,0.8634538801624904,35.4,4312.0,rural,salaried,0.78,Medium,0.04,1.0,below,typical,typical,typical,moderate,digital,fast,moderate,moderate,digital,moderate,moderate,high,minimal
36334,4,Middle-aged Salaried - Rural,0.8640178853339504,35.4,4312.0,rural,salaried,0.78,Medium,0.05,0.73,typical,above,typical,typical,high,digital,moderate,low,moderate,digital,simple,moderate,high,minimal
29920,4,Middle-aged Salaried - Rural,0.8661327833243688,35.4,4312.0,rural,salaried,0.78,Medium,0.05,1.0,below,above,typical,typical,high,digital,fast,low,moderate,digital,moderate,moderate,high,minimal
17904,2,Middle-aged Professional - Rural,0.8638371347455207,36.7,4262.0,rural,professional,0.22,Medium,0.04,0.42,below,typical,below,typical,moderate,in_person,fast,moderate,high,field_visit,moderate,essential,high,regular
31511,4,Middle-aged Salaried - Rural,0.86393746005603,35.4,4312.0,rural,salaried,0.78,Medium,0.045,1.0,typical,typical,typical,typical,moderate,digital,moderate,moderate,moderate,digital,moderate,moderate,high,minimal
9863,3,Middle-aged Professional - Rural,0.8581318435959128,38.0,273.0,rural,professional,0.78,Medium,0.0,1.0,typical,below,typical,typical,moderate,digital,moderate,high,moderate,digital,moderate,moderate,high,minimal
4875,4,Middle-aged Salaried - Rural,0.8639333499467743,35.4,4312.0,rural,salaried,0.78,Low,0.026666667,0.79,above,below,typical,typical,moderate,digital,moderate,high,moderate,digital,moderate,moderate,high,minimal
23356,1,Middle-aged Salaried - Rural,0.8600310246891876,34.9,1253.0,rural,salaried,0.22,Medium,0.01,0.28,below,below,above,typical,moderate,in_person,fast,high,high,field_visit,moderate,essential,high,regular
3018,5,Middle-aged Professional - Rural,0.860439745447153,39.9,454.0,rural,professional,0.17,Medium,0.008,0.17,typical,above,typical,typical,high,in_person,moderate,low,high,field_visit,simple,essential,high,regular
6288,0,Middle-aged Skilled_Worker - Rural,0.8651514693952692,34.8,1382.0,rural,skilled_worker,0.79,Medium,0.007,0.79,typical,below,typical,typical,moderate,digital,moderate,high,moderate,digital,simple,moderate,high,minimal
11019,3,Middle-aged Professional - Rural,0.858270055522355,38.0,273.0,rural,professional,0.78,Low,0.0,0.76,above,below,typical,typical,moderate,digital,moderate,high,moderate,digital,simple,moderate,high,minimal
33470,4,Middle-aged Salaried - Rural,0.8662445049897601,35.4,4312.0,rural,salaried,0.78,Medium,0.045,0.79,below,typical,typical,typical,moderate,digital,fast,moderate,moderate,digital,simple,moderate,high,minimal
7120,1,Middle-aged Salaried - Rural,0.8601230597269127,34.9,1253.0,rural,salaried,0.22,Medium,0.01,0.21,below,below,typical,typical,moderate,in_person,fast,high,high,field_visit,moderate,essential,high,regular
